Player,Pos,Age,G,3P,3PA,PTS,TRB,AST,threes_made,threes_trials
Luka Dončić,PG,24,70,284,744,2370,647,686,284,744
Shai Gilgeous-Alexander,PG,25,75,95,269,2254,415,465,95,269
Giannis Antetokounmpo,PF,29,73,34,124,2222,841,476,34,124
Jalen Brunson,PG,27,77,211,526,2212,278,519,211,526
Nikola Jokić,C,28,79,83,231,2085,976,708,83,231
Anthony Edwards,SG,22,79,190,532,2049,430,405,190,532
Kevin Durant,PF,35,75,168,407,2032,495,378,168,407
Jayson Tatum,PF,25,74,229,609,1987,601,364,229,609
De'Aaron Fox,PG,26,74,214,580,1966,340,418,214,580
Stephen Curry,PG,35,74,357,876,1956,330,379,357,876
DeMar DeRozan,SF,34,79,75,225,1897,340,421,75,225
Anthony Davis,C,30,76,29,107,1876,961,266,29,107
Devin Booker,PG,27,68,152,418,1841,308,472,152,418
LeBron James,PF,39,71,149,363,1822,518,589,149,363
Tyrese Maxey,PG,23,70,212,569,1816,258,433,212,569
Paolo Banchero,PF,21,80,119,351,1804,554,431,119,351
Damian Lillard,PG,33,73,220,622,1775,320,508,220,622
Dejounte Murray,SG,27,78,201,554,1753,416,502,201,554
Paul George,PF,33,74,243,588,1671,388,262,243,588
Kawhi Leonard,SF,32,68,140,336,1613,416,244,140,336
Jaylen Brown,SF,27,70,145,410,1610,387,249,145,410
Jalen Green,SG,21,82,201,605,1610,423,291,201,605
Mikal Bridges,SF,27,82,220,592,1606,372,299,220,592
Domantas Sabonis,C,27,82,33,87,1593,1120,673,33,87
Kyle Kuzma,PF,28,70,151,450,1553,464,296,151,450
Victor Wembanyama,C,20,71,128,394,1522,755,274,128,394
Coby White,PG,23,79,209,556,1509,358,405,209,556
Kyrie Irving,SG,31,58,173,421,1487,290,299,173,421
Jaren Jackson Jr.,C,24,66,117,366,1486,365,154,117,366
Cam Thomas,SG,22,66,144,396,1482,214,192,144,396
Donovan Mitchell,SG,27,55,182,494,1463,280,333,182,494
Collin Sexton,SG,25,78,128,325,1458,205,383,128,325
Miles Bridges,SF,25,69,157,450,1449,505,231,157,450
Franz Wagner,SF,22,72,94,334,1421,381,269,94,334
Cade Cunningham,PG,22,62,119,335,1405,268,464,119,335
Tyrese Haliburton,PG,23,69,195,535,1389,271,752,195,535
Trae Young,PG,25,54,175,469,1389,149,583,175,469
Klay Thompson,SF,33,77,268,692,1375,254,176,268,692
Nikola Vučević,C,33,76,92,313,1370,801,254,92,313
D'Angelo Russell,PG,27,76,226,545,1369,236,482,226,545
Bam Adebayo,C,26,71,15,42,1367,737,278,15,42
Chet Holmgren,C,21,82,129,349,1357,648,200,129,349
Jordan Poole,SG,24,78,184,564,1356,212,343,184,564
Michael Porter Jr.,SF,25,81,220,554,1356,565,122,220,554
Jalen Williams,PF,22,71,103,241,1355,282,322,103,241
Joel Embiid,C,29,39,54,139,1353,430,219,54,139
Karl-Anthony Towns,PF,28,62,136,327,1349,515,189,136,327
Bogdan Bogdanović,SG,31,79,240,641,1333,272,247,240,641
Brandon Ingram,SF,26,64,86,242,1332,324,363,86,242
Alperen Şengün,C,21,63,33,111,1331,589,312,33,111
Devin Vassell,SG,23,68,166,446,1323,261,277,166,446
CJ McCollum,PG,32,66,239,557,1322,286,305,239,557
Myles Turner,C,27,77,116,324,1313,533,100,116,324
Austin Reaves,SG,25,82,154,420,1300,352,450,154,420
